EVID;Lat;Lon;Iobs;QIobs
1100022;49.6847;5.5153;2;A
1100022;49.7308;5.6503;2;A
1100022;49.8731;4.9347;2;A
1100022;50.3111;4.8811;2;A
1100022;50.3275;4.8789;2;A
1100022;50.4289;4.5558;2;A
1100022;50.447;3.821;2;A
1100022;50.5883;3.8078;2;A
1100022;50.6117;4.4517;2;A
1100022;50.6492;3.5911;2;A
1100022;50.693;4.04;2;A
1100022;50.723;4.61;2;A
1100022;50.7258;4.0303;2;A
1100022;50.734;3.683;2;A
1100022;50.7689;4.4733;2;A
1100022;50.795;4.3678;2;A
1100022;50.7958;4.1203;2;A
1100022;50.8047;3.7661;2;A
1100022;50.8169;4.4289;2;A
1100022;50.8653;4.3744;2;A
1100022;50.87;3.8128;2;A
1100022;50.8742;4.95;2;A
1100022;50.8822;4.4042;2;A
1100022;50.8839;4.0844;2;A
1100022;50.9139;4.4361;2;A
1100022;50.9425;4.5492;2;A
1100022;50.9522;4.71;2;A
1100022;50.9603;3.5975;2;A
1100022;50.9786;4.6383;2;A
1100022;50.9817;4.5733;2;A
1100022;50.985;4.4656;2;A
1100022;50.9956;3.2689;2;A
1100022;50.9958;3.7483;2;A
1100022;51.0058;3.8044;2;A
1100022;51.0539;4.8825;2;A
1100022;51.0572;3.8014;2;A
1100022;51.0572;4.2028;2;A
1100022;51.0575;4.6314;2;A
1100022;51.07;4.0403;2;A
1100022;51.0708;4.5328;2;A
1100022;51.078;4.277;2;A
1100022;51.0892;4.9208;2;A
1100022;51.0961;3.6072;2;A
1100022;51.1011;4.2369;2;A
1100022;51.1031;2.6561;2;A
1100022;51.1078;4.0869;2;A
1100022;51.2122;5.4275;2;A
1100022;51.2206;4.3278;2;A
1100022;51.3028;4.6936;2;A
1100022;51.3242;4.9869;2;A
1100022;51.3511;4.7625;2;A
1100022;51.3531;4.6444;2;A
1100022;52.6406;4.7513;2;A
1100022;49.2032;6.2977;3;A
1100022;49.4435;6.363;3;A
1100022;49.4498;5.5997;3;A
1100022;49.5925;5.815;3;A
1100022;49.5972;4.7337;3;A
1100022;49.8623;7.8891;3;A
1100022;49.8756;8.6518;3;A
1100022;49.9167;5.3781;3;A
1100022;49.9423;4.6376;3;A
1100022;49.9817;4.9375;3;A
1100022;50.0033;5.7161;3;A
1100022;50.1295;8.6597;3;A
1100022;50.1339;5.7894;3;A
1100022;50.1422;8.1469;3;A
1100022;50.1861;5.0147;3;A
1100022;50.2103;6.1408;3;A
1100022;50.2408;4.8408;3;A
1100022;50.2922;5.5597;3;A
1100022;50.3386;5.3694;3;A
1100022;50.3533;5.4592;3;A
1100022;50.355;6.1711;3;A
1100022;50.3967;3.7803;3;A
1100022;50.415;4.431;3;A
1100022;50.4275;6.0297;3;A
1100022;50.4283;5.5328;3;A
1100022;50.4325;4.6158;3;A
1100022;50.455;3.948;3;A
1100022;50.466;4.864;3;A
1100022;50.4894;5.7931;3;A
1100022;50.4972;5.4758;3;A
1100022;50.4981;5.5175;3;A
1100022;50.5378;5.2156;3;A
1100022;50.5533;4.8025;3;A
1100022;50.5603;5.9656;3;A
1100022;50.5786;4.5303;3;A
1100022;50.5847;5.2822;3;A
1100022;50.5939;4.9086;3;A
1100022;50.5947;5.2281;3;A
1100022;50.61;4.338;3;A
1100022;50.6139;5.2317;3;A
1100022;50.6164;5.205;3;A
1100022;50.6186;4.6967;3;A
1100022;50.6233;4.8128;3;A
1100022;50.6292;3.7769;3;A
1100022;50.6347;4.6119;3;A
1100022;50.6511;4.265;3;A
1100022;50.6658;4.1342;3;A
1100022;50.6806;6.0103;3;A
1100022;50.6831;4.3717;3;A
1100022;50.6836;4.2681;3;A
1100022;50.6872;4.4853;3;A
1100022;50.7058;3.2653;3;A
1100022;50.7111;5.0325;3;A
1100022;50.7128;3.8325;3;A
1100022;50.7181;4.3975;3;A
1100022;50.726;4.553;3;A
1100022;50.7378;3.74;3;A
1100022;50.7392;4.6975;3;A
1100022;50.742;4.509;3;A
1100022;50.7461;4.3458;3;A
1100022;50.7564;5.3022;3;A
1100022;50.768;4.309;3;A
1100022;50.7719;3.885;3;A
1100022;50.7736;4.5383;3;A
1100022;50.775;4.8889;3;A
1100022;50.78;4.245;3;A
1100022;50.7975;4.4153;3;A
1100022;50.807;4.94;3;A
1100022;50.8078;3.6825;3;A
1100022;50.8244;4.5142;3;A
1100022;50.8392;4.6647;3;A
1100022;50.8397;4.8325;3;A
1100022;50.8428;4.4339;3;A
1100022;50.8442;4.0744;3;A
1100022;50.8456;5.0475;3;A
1100022;50.8578;4.3408;3;A
1100022;50.8617;4.2939;3;A
1100022;50.8617;4.6303;3;A
1100022;50.8631;4.4667;3;A
1100022;50.8767;5.3078;3;A
1100022;50.881;4.703;3;A
1100022;50.8886;4.4708;3;A
1100022;50.9033;4.2786;3;A
1100022;50.9081;4.6753;3;A
1100022;50.9108;5.0583;3;A
1100022;50.9219;4.7567;3;A
1100022;50.9336;3.9761;3;A
1100022;50.9414;5.1675;3;A
1100022;50.965;5.5028;3;A
1100022;50.9675;3.9792;3;A
1100022;50.9814;4.9792;3;A
1100022;50.9867;4.8325;3;A
1100022;50.9919;5.3672;3;A
1100022;51.0075;3.9758;3;A
1100022;51.0197;4.7825;3;A
1100022;51.0239;4.5497;3;A
1100022;51.0272;4.5575;3;A
1100022;51.0319;5.3722;3;A
1100022;51.0497;5.2256;3;A
1100022;51.054;3.729;3;A
1100022;51.0689;5.0897;3;A
1100022;51.0761;4.7928;3;A
1100022;51.0964;4.5111;3;A
1100022;51.1194;4.6622;3;A
1100022;51.1258;4.2153;3;A
1100022;51.1322;5.0803;3;A
1100022;51.1336;5.4522;3;A
1100022;51.1419;5.5992;3;A
1100022;51.1456;4.8583;3;A
1100022;51.1564;3.2367;3;A
1100022;51.1628;4.9919;3;A
1100022;51.1667;4.4639;3;A
1100022;51.215;4.414;3;A
1100022;51.2294;5.4331;3;A
1100022;51.2414;4.9681;3;A
1100022;51.2419;3.5267;3;A
1100022;51.2531;5.5478;3;A
1100022;51.3606;4.8658;3;A
1100022;51.3731;4.9961;3;A
1100022;51.4022;4.7633;3;A
1100022;51.4667;4.4642;3;A
1100022;51.9377;8.8884;3;A
1100022;51.9758;5.9085;3;A
1100022;52.0937;5.1076;3;A
1100022;52.3627;4.8893;3;A
1100022;49.2473;5.9391;4;A
1100022;49.2942;6.1931;4;A
1100022;49.3274;6.1224;4;A
1100022;49.3571;6.1684;4;A
1100022;49.7736;4.7202;4;A
1100022;49.8179;4.7438;4;A
1100022;49.8539;4.7331;4;A
1100022;49.9727;8.5615;4;A
1100022;49.9936;4.7069;4;A
1100022;50.3535;7.5928;4;A
1100022;50.7988;7.208;4;A
1100022;50.8121;8.7291;4;A
1100022;50.9326;7.2847;4;A
1100022;50.9872;7.4094;4;A
1100022;51.36;7.4942;4;A
1100022;51.4536;6.6247;4;A
1100022;51.9607;7.6248;4;A
1100022;52.0308;7.1041;4;A
1100022;49.3298;6.0604;4;A
1100022;49.701;4.9445;4;A
1100022;49.7486;4.7541;4;A
1100022;49.7978;4.6744;4;A
1100022;49.885;4.7308;4;A
1100022;49.9887;6.1607;4;A
1100022;50.1019;4.808;4;A
1100022;50.1831;5.5778;4;A
1100022;50.2653;4.4589;4;A
1100022;50.2798;7.5441;4;A
1100022;50.2817;5.7169;4;A
1100022;50.2864;5.7972;4;A
1100022;50.2886;5.9175;4;A
1100022;50.2981;5.1017;4;A
1100022;50.3271;7.2247;4;A
1100022;50.3731;5.0236;4;A
1100022;50.3889;5.2411;4;A
1100022;50.4;5.6056;4;A
1100022;50.404;5.931;4;A
1100022;50.4075;4.5886;4;A
1100022;50.4125;5.3578;4;A
1100022;50.4147;6.1142;4;A
1100022;50.4187;7.1194;4;A
1100022;50.4378;5.4689;4;A
1100022;50.4392;7.4062;4;A
1100022;50.4431;5.3017;4;A
1100022;50.4628;5.2417;4;A
1100022;50.4659;7.4894;4;A
1100022;50.4761;5.3694;4;A
1100022;50.4761;5.5758;4;A
1100022;50.4819;5.5228;4;A
1100022;50.4914;5.6442;4;A
1100022;50.492;5.869;4;A
1100022;50.5031;5.6661;4;A
1100022;50.5083;5.3706;4;A
1100022;50.5094;5.5819;4;A
1100022;50.5175;5.2386;4;A
1100022;50.5236;4.6022;4;A
1100022;50.5281;5.8247;4;A
1100022;50.5292;5.3825;4;A
1100022;50.5297;5.4125;4;A
1100022;50.5364;5.6272;4;A
1100022;50.5389;5.8828;4;A
1100022;50.5411;5.2869;4;A
1100022;50.5456;5.3375;4;A
1100022;50.5489;5.3178;4;A
1100022;50.5572;4.9919;4;A
1100022;50.5631;4.6964;4;A
1100022;50.5681;7.2848;4;A
1100022;50.5692;5.8039;4;A
1100022;50.5767;5.2622;4;A
1100022;50.5794;5.8181;4;A
1100022;50.5864;5.3042;4;A
1100022;50.6044;5.7814;4;A
1100022;50.6078;5.3181;4;A
1100022;50.6083;5.8139;4;A
1100022;50.6094;5.0172;4;A
1100022;50.6111;5.855;4;A
1100022;50.6222;5.2575;4;A
1100022;50.631;6.035;4;A
1100022;50.6322;5.8353;4;A
1100022;50.6375;4.9167;4;A
1100022;50.6433;4.5703;4;A
1100022;50.6481;5.3217;4;A
1100022;50.6492;3.7183;4;A
1100022;50.6495;6.8069;4;A
1100022;50.6497;5.2708;4;A
1100022;50.6503;5.7061;4;A
1100022;50.6544;5.2458;4;A
1100022;50.6614;5.3103;4;A
1100022;50.6619;5.7636;4;A
1100022;50.6667;4.5692;4;A
1100022;50.6694;5.1717;4;A
1100022;50.6717;5.0786;4;A
1100022;50.6761;6.1122;4;A
1100022;50.6933;4.8003;4;A
1100022;50.695;4.2061;4;A
1100022;50.6956;5.7547;4;A
1100022;50.6958;5.7281;4;A
1100022;50.6986;5.2158;4;A
1100022;50.6989;5.3408;4;A
1100022;50.7047;4.99;4;A
1100022;50.7094;6.3614;4;A
1100022;50.7108;5.7558;4;A
1100022;50.714;5.726;4;A
1100022;50.7164;5.3986;4;A
1100022;50.7189;7.1133;4;A
1100022;50.7222;5.5725;4;A
1100022;50.7261;4.8694;4;A
1100022;50.7311;5.7453;4;A
1100022;50.7433;5.7317;4;A
1100022;50.7483;5.4433;4;A
1100022;50.7531;3.9728;4;A
1100022;50.755;5.146;4;A
