EVID	Year	Month	Day	Lon	Lat	QPos	I0	QI0	Ic	Dc	Mag	StdM	Depth	Hmin	Hmax	QH
640001	1980	2	29	0,333333333	43,08333333	A	7,5	A	3,5	100	5,14	0,25	4	2	7	A
740150	1994	12	14	6,366666667	45,91666667	A	6	A	3	50	4,19	0,25	11	7	13	A
740153	1996	7	15	6,083333333	45,91666667	A	7	A	3	100	4,56	0,25	2	1	3,5	A
380116	1999	9	13	5,416666667	45,45	A	4,5	B	3	12	3,3	0,25	7,5	3	9	A
310037	1999	10	4	0,633333333	42,93333333	B	6	A	3	50	4,85	0,25	13	10	16	B
740155	2000	8	19	6,65	46,05	B	4,5	A	3	15	3,36	0,25	4,6	2	8	B
650501	2002	5	16	0,133333333	43	A	5	A	3	20	4	0,25	9,5	7,5	10	A
640564	2002	9	5	0,416666667	43,11666667	A	5	A	3,5	25	3,46	0,25	10	6	12	A
560053	2002	9	30	-3,216666667	47,81666667	A	5,5	A	3,5	110	4,34	0,25	10	9,5	13	A
640566	2002	12	12	0,283333333	43,06666667	A	5	A	3	35	4,1	0,25	9	6	12	A
640567	2003	1	21	0,35	43,08333333	A	5	A	4	30	3,74	0,25	9	6	12	A
880077	2003	2	22	6,7	48,33333333	A	6,5	A	3	130	4,77	0,25	12	9,5	12,5	A
250038	2004	2	23	6,3	47,3	A	5,5	A	3	160	4,49	0,25	14	10	18	A
650505	2006	11	17	0	43,01666667	C	6	A	3	50	4,57	0,25	7	4	10	A
408	2008	5	18	0,1777	43,0303	B	5	C	3	50	3,92	0,25	9	6	12	A
503	2008	7	16	0,3958	43,0987	B	5	C	3	30	3,62	0,25	10	7	13	B
572	2010	4	1	0,28	42,96	B	4,5	C	3	20	3,72	0,25	13	10	16	A
738	2012	2	26	6,67	44,51	B	5,5	C	3	200	4,48	0,25	8,8	8	10	A
1779	2012	12	30	0,2009	43,0591	B	4,5	C	4	70	4,38	0,25	8,4	5	11	A
3527	2014	4	7	6,7132	44,5136	B	6	C	2	50	4,93	0,25	9,9	8	10	A
3534	2014	4	29	0,006	43,0274	B	5	C	3	50	4,2	0,25	4,1	1	7	B
3599	2015	11	6	6,7391	44,4914	B	4	C	3	50	3,97	0,25	10	5	11	B
3612	2016	4	28	-1,12	46,05	B	6	C	3	200	3,97	0,25	10	5	15	B
3649	2016	11	10	6,1677	44,27746	B	4	C	3	30	3,75	0,25	5	2	8	B
3680	2017	10	25	6,318	45,4286	B	4,5	C	3	30	3,56	0,25	4,5	3	5,5	A
3681	2017	10	27	6,3286	45,447	B	4,5	C	3	30	3,67	0,25	4	1	7	A
3736	2018	2	12	0,6317	46,6302	B	4	C	2	100	4,2	0,25	3,7	2	10	A
3783	2019	3	20	0,3512	45,3075	B	5	C	3	150	3,96	0,25	15	7	18	B
3775	2018	11	21	5,0304	46,1454	B	4	C	3	50	3,62	0,25	8	4	15	B
3795	2019	6	21	0,4381	47,1304	B	6	C	3	200	4,07	0,25	6	4	8	A
2019111102	2019	11	11	4,6709	44,5178	A	8	A	3	150	4,93	0,25	1,5	0,5	2	A
