EVID;Year;Month;Day;Lon;Lat;QPos;I0;QI0;Ic;Dc;Mag;StdM;Depth;Hmin;Hmax;QH
640001.0;1980.0;2.0;29.0;-0.3333333333333333;43.08333333333333;A;7.5;A;3.5;100.0;5.14;0.25;4.0;2.0;7.0;A
740150.0;1994.0;12.0;14.0;6.366666666666666;45.91666666666666;A;6.0;A;3.0;50.0;4.19;0.25;11.0;7.0;13.0;A
740153.0;1996.0;7.0;15.0;6.083333333333332;45.91666666666666;A;7.0;A;3.0;100.0;4.56;0.25;2.0;1.0;3.5;A
380116.0;1999.0;9.0;13.0;5.416666666666668;45.45;A;4.5;B;3.0;12.0;3.3;0.25;7.5;3.0;9.0;A
650501.0;2002.0;5.0;16.0;-0.1333333333333333;43.0;A;5.0;A;3.0;20.0;4.0;0.25;9.5;7.5;10.0;A
640564.0;2002.0;9.0;5.0;-0.4166666666666667;43.11666666666667;A;5.0;A;3.5;25.0;3.46;0.25;10.0;6.0;12.0;A
560053.0;2002.0;9.0;30.0;-3.2166666666666663;47.81666666666667;A;5.5;A;3.5;110.0;4.34;0.25;10.0;9.5;13.0;A
640566.0;2002.0;12.0;12.0;-0.2833333333333334;43.06666666666666;A;5.0;A;3.0;35.0;4.1;0.25;9.0;6.0;12.0;A
640567.0;2003.0;1.0;21.0;-0.35;43.08333333333333;A;5.0;A;4.0;30.0;3.74;0.25;9.0;6.0;12.0;A
880077.0;2003.0;2.0;22.0;6.7;48.33333333333334;A;6.5;A;3.0;130.0;4.77;0.25;12.0;9.5;12.5;A
250038.0;2004.0;2.0;23.0;6.3;47.3;A;5.5;A;3.0;160.0;4.49;0.25;14.0;10.0;18.0;A
650505.0;2006.0;11.0;17.0;0.0;43.01666666666666;C;6.0;A;3.0;50.0;4.57;0.25;7.0;4.0;10.0;A
