EVID;Day;Month;Year;Hour;Minute;Second;Lon;Lat;QPos;I0;QI0;Depth;Hmin;Hmax
10038;11.0;1.0;2006;10.0;32.0;8.0;5.466666666666667;45.91666666666666;B;4.5;B;9.999;1;25
40203;31.0;10.0;1997;4.0;23.0;44.0;6.466666666666667;44.23333333333333;B;6.0;B;9.999;1;25
50099;11.0;2.0;1991;15.0;43.0;45.0;6.666666666666667;44.85;A;6.0;B;9.999;1;25
60158;1.0;11.0;1999;17.0;22.0;35.0;7.383333333333334;43.8;B;5.0;B;9.999;1;25
160050;24.0;8.0;2006;20.0;0.0;59.0;-0.1833333333333333;45.85;A;5.0;A;9.999;1;25
310038;18.0;7.0;2004;2.0;16.0;2.0;0.8;42.9;C;4.0;B;9.999;1;25
380117;11.0;1.0;1999;3.0;36.0;37.0;5.733333333333334;45.06666666666666;A;5.5;A;9.999;1;25
640362;13.0;8.0;1967;22.0;7.0;50.0;-0.7666666666666667;43.1;A;8.0;A;9.999;1;25
640565;11.0;12.0;2002;20.0;9.0;53.0;-0.4166666666666667;43.11666666666667;A;5.0;A;9.999;1;25
650506;16.0;12.0;2006;8.0;17.0;1.0;-0.1333333333333333;43.0;B;5.0;B;9.999;1;25
650508;15.0;11.0;2007;13.0;47.0;35.0;-0.0333333333333333;43.016666666666666;C;5.0;B;9.999;1;25
660095;18.0;2.0;1996;1.0;45.0;46.0;2.5666666666666664;42.73333333333333;A;6.0;A;9.999;1;25
660098;7.0;2.0;2006;14.0;59.0;19.0;1.75;42.49999999999999;D;3.5;C;9.999;1;25
680091;15.0;7.0;1980;12.0;17.0;22.0;7.4;47.71666666666667;A;6.5;B;9.999;1;25
730223;25.0;5.0;2003;23.0;3.0;32.0;6.533333333333334;45.13333333333333;B;4.0;C;9.999;1;25
740157;8.0;9.0;2005;11.0;27.0;18.0;6.916666666666666;46.03333333333334;B;5.0;A;9.999;1;25
1100022;8.0;11.0;1983;0.0;49.0;35.0;5.55;50.63333333333334;A;7.5;A;9.999;1;25
1110086;26.0;2.0;1969;1.0;28.0;1.0;9.033333333333331;48.28333333333334;D;7.0;B;9.999;1;25
1110087;22.0;1.0;1970;15.0;25.0;17.0;9.016666666666666;48.3;C;7.0;B;9.999;1;25
1120281;23.0;2.0;2001;22.0;19.0;54.0;7.083333333333333;46.11666666666667;D;5.0;C;9.999;1;25
1120295;21.0;6.0;2004;23.0;10.0;1.0;7.666666666666667;47.51666666666667;D;5.0;C;9.999;1;25
1130086;19.0;7.0;1963;5.0;46.0;5.0;8.166666666666666;43.28333333333334;D;7.5;E;9.999;1;25
1130560;21.0;4.0;1995;8.0;2.0;56.0;7.583333333333333;43.75000000000001;C;6.0;C;9.999;1;25
1130568;25.0;2.0;2001;18.0;34.0;44.0;7.266666666666667;43.6;C;5.5;C;9.999;1;25
1140126;21.0;9.0;2004;15.0;48.0;2.0;2.166666666666667;42.333333333333336;D;6.0;C;9.999;1;25
1140127;18.0;9.0;2004;12.0;52.0;18.0;-1.4166666666666667;42.8;B;5.0;B;9.999;1;25
