;Beta values during inversion;Gamma values during inversion
0;-3.0;-0.001
1;-3.015064021187686;-0.001702054748695308
2;-3.0499054991585757;-0.001747632655603887
3;-3.0879316128524272;-0.0015661175931821435
4;-3.1238673362838663;-0.0013181408028412722
5;-3.1560205773031433;-0.0010658385959059903
6;-3.183972513732951;-0.0008351754781736199
7;-3.2078435135106727;-0.0006361813234802373
8;-3.2279763204001686;-0.00047095914347835264
9;-3.2448470026185223;-0.000335888689564168
10;-3.2589059181899986;-0.00022538947927586446
11;-3.270587374126091;-0.0001340147354856271
12;-3.2802314696475996;-5.7875752455201944e-05
13;-3.287832570232692;-3.125297465484192e-16
14;-3.290172601486507;-1.976023180949763e-05
15;-3.2927641333839213;-1.1350676080340227e-05
16;-3.294217232291272;-8.705901768570192e-06
17;-3.295174547697309;-4.204909971439378e-06
18;-3.2958604621345904;-9.07844740022615e-07
