EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.8832959215361385;0.25;7.5;112.98588536070258;117;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;88.16387650632241;0.003988231310592175;0.03225806451612903;0.00012865262292232824
640001;4.0;0.7466429555514904;7.8832959215361385;0.25;7.5;84.51383899134498;175;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;86.74125309821689;0.004120124221096472;0.03225806451612903;0.00013290723293859588
640001;4.5;0.5896763606323197;7.8832959215361385;0.25;7.5;53.44474981195736;187;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;68.50565730692958;0.006605547477667331;0.03225806451612903;0.00021308217669894616
640001;5.0;0.6929776596608875;7.8832959215361385;0.25;7.5;45.3434007674415;146;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;80.50668679202415;0.004782971423290234;0.03225806451612903;0.00015428940075129787
640001;5.5;0.6641406945582081;7.8832959215361385;0.25;7.5;33.89907114396737;87;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;77.15655207239983;0.005207341621979703;0.03225806451612903;0.00016797876199934524
640001;6.0;0.6355362449743679;7.8832959215361385;0.25;7.5;27.23905822697766;88;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;73.83342984558608;0.005686638313654365;0.03225806451612903;0.0001834399456017537
640001;6.5;0.5459016161211421;7.8832959215361385;0.25;7.5;21.577181000593825;36;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;63.42012590973155;0.00770739281878125;0.03225806451612903;0.00024862557479939513
640001;7.0;0.5966993788969933;7.8832959215361385;0.25;7.5;8.82551608219391;30;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;69.32155652660346;0.006450970894988609;0.03225806451612903;0.00020809583532221317
640001;7.5;0.5020458146424487;7.8832959215361385;0.25;7.5;6.800606549156702;2;5.14;0.25;6.4592729788656476;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;58.325177718492434;0.009112752021070075;0.03225806451612903;0.0002939597426151637
740150;3.0;0.5706612440568947;6.108289145818732;0.25;6.0;83.08090352257744;190;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;66.29657594173709;0.00705309114909583;0.03225806451612903;0.00022751906932567194
740150;3.5;0.7080587542157143;6.108289145818732;0.25;6.0;61.18999021325817;89;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;82.25873310820768;0.004581394190614819;0.03225806451612903;0.00014778690937467158
740150;4.0;0.8372845085474891;6.108289145818732;0.25;6.0;32.114866258181245;91;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;97.27153645679222;0.003276348887604052;0.03225806451612903;0.00010568867379367909
740150;4.5;0.4553771287944969;6.108289145818732;0.25;6.0;26.616228926331182;24;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;52.90344265650644;0.011076277429798173;0.03225806451612903;0.0003572992719289733
740150;5.0;0.7110630216104686;6.108289145818732;0.25;6.0;19.32624203741711;37;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;1.977806555194501;82.60775390392472;0.0045427628551840075;0.03225806451612903;0.00014654073726400025
740150;5.5;0.740572010931202;6.108289145818732;0.25;6.0;12.74255155227191;12;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;1.8233305609838164;86.03596104404525;0.004187951710143128;0.03225806451612903;0.00013509521645622993
740150;6.0;0.5621746655328201;6.108289145818732;0.25;6.0;3.2489267326763716;3;4.19;0.25;9.393332710306987;7.0;13.0;7.0;13.0;0.25;-99;3.1641528860144263;65.3106475937613;0.007267645139995022;0.03225806451612903;0.00023444016580629105
740153;3.0;0.4663344626349441;7.4195433328641345;0.25;7.0;80.79253660776398;221;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;4.598381265003581;54.17641102896481;0.010561880053318975;0.03225806451612903;0.00034070580817157985
740153;3.5;0.4593666826994864;7.4195433328641345;0.25;7.0;67.89273416510218;78;4.56;0.25;3.49999999965;1.0;3.5;1.0;3.5;0.25;-99;4.738937856710139;53.366929122760006;0.010884720152204696;0.03225806451612903;0.0003511200049098289
