;Beta values during inversion
0;-2.0
1;-2.1770357416846853
2;-2.3229302153868256
3;-2.445941616900099
4;-2.5559903051138924
5;-2.653371919562345
6;-2.7383866638627934
7;-2.8115289432441477
8;-2.873715686501955
9;-2.926094674231682
10;-2.9695985643514953
11;-3.004920453984416
12;-3.0327563899081564
13;-3.0548429775324712
14;-3.0723110046989213
15;-3.0860295289121766
16;-3.0967100895690365
17;-3.1049392243826017
18;-3.1111975066239594
19;-3.1158753770679772
20;-3.1192806785611915
21;-3.121651223193471
22;-3.1231674687515265
23;-3.123953103458292
