;Beta values during inversion
0;-2.0
1;-2.1935225476071865
2;-2.365255537840063
3;-2.517201123840187
4;-2.652987621553442
5;-2.7712434778237465
6;-2.872424507533968
7;-2.957620960286299
8;-3.026597213993884
9;-3.0814952432507523
10;-3.1256565903148195
11;-3.1610744535399657
12;-3.189338753502311
13;-3.211802844442805
14;-3.2295872093732854
15;-3.243594881303544
16;-3.254561371014525
17;-3.2630868563682576
18;-3.2696593318742453
19;-3.2746731783209704
20;-3.278443446141127
21;-3.2812195653384766
22;-3.283201579361976
23;-3.28455003792474
24;-3.285392809673846
