EVID;I;StdI;Io;Io_std;Io_ini;Depi;Ndata;Mag;StdM;Depth;Hmin;Hmax;Hmin_ini;Hmax_ini;StdIo_inv;RegID;Poids_int;eqStd;Poids_int_norm;Poids_evt;Poids
640001;3.5;0.75888847551028;7.934618085301514;0.25;7.5;112.98588536070258;117;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;1.7363772402778561;48.29118370763156;0.006432141017220527;0.06666666666666667;0.00042880940114803514
640001;4.0;0.7466429555514904;7.934618085301514;0.25;7.5;84.51383899134498;175;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;1.7938001503646988;47.51195108912625;0.006644855309213114;0.06666666666666667;0.0004429903539475409
640001;4.5;0.5896763606323197;7.934618085301514;0.25;7.5;53.44474981195736;187;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;2.875891944716045;37.523523387537864;0.010653297054125231;0.06666666666666667;0.0007102198036083487
640001;5.0;0.6929776596608875;7.934618085301514;0.25;7.5;45.3434007674415;146;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;2.0823874227764905;44.09700838514734;0.007713882240037572;0.06666666666666667;0.0005142588160025048
640001;5.5;0.6641406945582081;7.934618085301514;0.25;7.5;33.89907114396737;87;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;2.267147707993542;42.26199411851523;0.008398298149974167;0.06666666666666667;0.0005598865433316111
640001;6.0;0.6355362449743679;7.934618085301514;0.25;7.5;27.23905822697766;88;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;2.475821629326551;40.44177576722179;0.00917129842750344;0.06666666666666667;0.000611419895166896
640001;6.5;0.5459016161211421;7.934618085301514;0.25;7.5;21.577181000593825;36;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;3.35560814561321;34.737957000431386;0.012430331549188121;0.06666666666666667;0.0008286887699458747
640001;7.0;0.5966993788969933;7.934618085301514;0.25;7.5;8.82551608219391;30;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;2.808593124978479;37.970426820843215;0.010403998981792019;0.06666666666666667;0.0006935999321194679
640001;7.5;0.5020458146424487;7.934618085301514;0.25;7.5;6.800606549156702;2;5.14;0.25;6.141028951252575;2.0;7.0;2.0;7.0;0.25;-99;3.9674667724657815;31.94723262630125;0.01469686723004563;0.06666666666666667;0.0009797911486697087
740150;3.0;0.5706612440568947;6.1085342177624105;0.25;6.0;83.08090352257744;190;4.19;0.25;9.324567871762948;7.0;13.0;7.0;13.0;0.25;-99;3.0707413866315525;36.313513593742485;0.011375086685119652;0.06666666666666667;0.0007583391123413101
740150;3.5;0.7080587542157143;6.1085342177624105;0.25;6.0;61.18999021325817;89;4.19;0.25;9.324567871762948;7.0;13.0;7.0;13.0;0.25;-99;1.9946256828678257;45.0566802357043;0.007388782443798115;0.06666666666666667;0.0004925854962532077
740150;4.0;0.8372845085474891;6.1085342177624105;0.25;6.0;32.114866258181245;91;4.19;0.25;9.324567871762948;7.0;13.0;7.0;13.0;0.25;-99;1.4264412459067335;53.27984456561047;0.005284031046723264;0.06666666666666667;0.0003522687364482176
740150;4.5;0.4553771287944969;6.1085342177624105;0.25;6.0;26.616228926331182;24;4.19;0.25;9.324567871762948;7.0;13.0;7.0;13.0;0.25;-99;4.82233715607864;28.977512892236497;0.017863602390639777;0.06666666666666667;0.0011909068260426519
